Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Carney Chukwuemeka,Chelsea,Midfielder,2.5,0.53,18,0,1.3,8.1,7,0.26,0.33,0,0.25,4.0,4.0,0.0,4.5,1,0,1.6453382084095063,0.04748201438848921,0.062225877192982455,0.04273972602739726,,,-0.33
Enzo Fernández,Chelsea,Midfielder,3.7,1.05,42,1,2.3,24.91,25,0.17,0.78,0,0.2,8.4,8.4,0.0,5.0,3,3,3.8391224862888484,0.22719424460431656,0.18327850877192983,0.04054794520547945,,,-0.78
Conor Gallagher,Chelsea,Midfielder,0.5,1.01,66,7,1.9,30.95,23,0.22,2.55,3,0.24,12.0,12.0,0.0,5.5,4,9,6.032906764168191,0.27784172661870504,0.19270833333333331,0.18027397260273972,,5.0,0.4500000000000002
Noni Madueke,Chelsea,Midfielder,0.2,0.99,26,2,2.2,13.11,13,0.0,0.9,1,0.23,4.7,4.7,0.0,5.5,0,0,2.376599634369287,0.1106474820143885,0.09364035087719298,0.12273972602739724,,,0.09999999999999998
Mykhailo Mudryk,Chelsea,Midfielder,3.1,0.97,25,0,1.7,10.88,10,0.0,1.82,0,0.42,3.8,3.8,0.0,6.5,0,1,2.2851919561243146,0.0725179856115108,0.08026315789473684,0.07671232876712328,,,-1.82
Christian Pulisic,Chelsea,Midfielder,0.0,0.89,39,0,1.6,14.13,11,0.34,1.67,1,0.23,7.1,7.1,0.0,5.5,3,1,3.5648994515539303,0.08661870503597123,0.09144736842105264,0.12438356164383561,,,-0.6699999999999999
Raheem Sterling,Chelsea,Midfielder,2.2,1.1,101,9,3.6,27.83,27,0.24,6.21,6,0.45,14.4,14.4,0.0,7.0,5,4,9.23217550274223,0.28748201438848925,0.2716008771929824,0.35452054794520543,,,-0.20999999999999996
Hakim Ziyech,Chelsea,Midfielder,0.2,0.83,33,0,1.8,8.8,7,0.28,0.65,0,0.3,6.0,6.0,0.0,5.5,2,1,3.0164533820840953,0.11179856115107914,0.12658991228070174,0.061917808219178076,4.0,3.0,-0.65
Naouirou Ahamada,Crystal Palace,Midfielder,0.3,0.0,7,0,0.9,1.83,2,0.0,0.15,0,0.18,1.6,1.6,0.0,4.5,0,1,0.5043227665706052,0.005323741007194245,0.007236842105263157,0.007671232876712328,,,-0.15
Jordan Ayew,Crystal Palace,Midfielder,0.3,1.03,104,4,2.7,41.13,41,0.27,3.13,4,0.18,18.9,18.9,0.0,5.5,8,5,7.492795389048991,0.3556834532374101,0.25668859649122805,0.24054794520547942,,,0.8700000000000001
Cheick Doucouré,Crystal Palace,Midfielder,0.1,1.1,74,3,2.2,40.18,41,0.23,1.45,0,0.09,14.8,14.8,0.0,5.0,7,8,5.3314121037463975,0.34172661870503596,0.1939144736842105,0.09150684931506849,,,-1.45
Malcolm Ebiowei,Crystal Palace,Midfielder,0.1,0.0,3,0,1.0,0.18,1,0.0,0.0,0,0.03,0.7,0.7,0.0,4.5,0,0,0.21613832853025938,0.002446043165467626,0.000493421052631579,0.002191780821917808,,,0.0
Eberechi Eze,Crystal Palace,Midfielder,16.4,1.03,159,21,4.2,32.64,35,0.31,7.25,10,0.35,24.5,24.5,0.0,6.5,9,3,11.455331412103746,0.5054676258992806,0.4570175438596491,0.347945205479452,2.0,2.0,2.75
Will Hughes,Crystal Palace,Midfielder,0.0,0.77,41,3,1.5,13.05,11,0.11,0.34,1,0.11,8.2,8.2,0.0,5.0,1,4,2.9538904899135447,0.13697841726618706,0.058881578947368424,0.04273972602739726,,3.0,0.6599999999999999
Jefferson Lerma Solís,Crystal Palace,Midfielder,0.4,1.02,101,5,2.7,60.57,67,0.19,2.58,5,0.15,20.2,20.2,0.0,5.0,7,7,7.2766570605187315,0.44546762589928063,0.16249999999999998,0.17095890410958903,,,2.42
Michael Olise,Crystal Palace,Midfielder,0.2,1.02,132,15,3.6,37.03,38,0.26,2.87,2,0.3,22.0,22.0,0.0,6.0,8,2,9.510086455331413,0.4693525179856115,0.6112938596491228,0.26520547945205475,,1.0,-0.8700000000000001
